{'01044099999': -10.0, '02293099999': -27.6}
         384086 function calls (378509 primitive calls) in 4.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    137/1    0.000    0.000    4.142    4.142 {built-in method builtins.exec}
        1    0.000    0.000    4.142    4.142 load.py:1(<module>)
        1    0.001    0.001    3.856    3.856 load.py:30(download_all_data)
        2    0.001    0.000    3.855    1.927 load.py:20(download_data)
        2    0.000    0.000    3.823    1.911 api.py:62(get)
        2    0.000    0.000    3.823    1.911 api.py:14(request)
        2    0.000    0.000    3.821    1.910 sessions.py:500(request)
        2    0.000    0.000    3.817    1.909 sessions.py:671(send)
     3054    0.006    0.000    2.899    0.001 socket.py:691(readinto)
     3054    0.006    0.000    2.889    0.001 ssl.py:1263(recv_into)
     3054    0.004    0.000    2.882    0.001 ssl.py:1121(read)
     3054    2.878    0.001    2.878    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    2.640    0.440 models.py:887(content)
       22    0.006    0.000    2.640    0.120 {method 'join' of 'bytes' objects}
     1171    0.001    0.000    2.634    0.002 models.py:812(generate)
     1171    0.002    0.000    2.633    0.002 response.py:607(stream)
     1169    0.008    0.000    2.630    0.002 response.py:535(read)
     1169    0.002    0.000    2.607    0.002 response.py:487(_fp_read)
     1169    0.003    0.000    2.605    0.002 client.py:450(read)
     1304    0.007    0.000    2.603    0.002 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    1.177    0.588 adapters.py:436(send)
        2    0.000    0.000    1.175    0.588 connectionpool.py:522(urlopen)
        2    0.000    0.000    1.175    0.587 connectionpool.py:361(_make_request)
        2    0.000    0.000    0.870    0.435 connectionpool.py:1034(_validate_conn)
        2    0.000    0.000    0.870    0.435 connection.py:356(connect)
        2    0.000    0.000    0.594    0.297 ssl_.py:355(ssl_wrap_socket)
        2    0.000    0.000    0.575    0.287 ssl_.py:481(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.575    0.287 ssl.py:507(wrap_socket)
        2    0.000    0.000    0.575    0.287 ssl.py:1014(_create)
        2    0.000    0.000    0.575    0.287 ssl.py:1335(do_handshake)
        2    0.575    0.287    0.575    0.287 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.304    0.152 client.py:1330(getresponse)
        2    0.000    0.000    0.303    0.152 client.py:311(begin)
        2    0.000    0.000    0.302    0.151 client.py:278(_read_status)
       26    0.000    0.000    0.302    0.012 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.272    0.136 connection.py:161(_new_conn)
        2    0.000    0.000    0.272    0.136 connection.py:37(create_connection)
        2    0.270    0.135    0.270    0.135 {method 'connect' of '_socket.socket' objects}
       15    0.000    0.000    0.244    0.016 __init__.py:1(<module>)
        1    0.012    0.012    0.166    0.166 load.py:52(get_all_temperatures)
    33650    0.134    0.000    0.152    0.000 load.py:37(get_file_temperatures)
    181/4    0.001    0.000    0.121    0.030 <frozen importlib._bootstrap>:1022(_find_and_load)
    180/4    0.001    0.000    0.120    0.030 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    165/4    0.001    0.000    0.120    0.030 <frozen importlib._bootstrap>:664(_load_unlocked)
    135/4    0.000    0.000    0.120    0.030 <frozen importlib._bootstrap_external>:877(exec_module)
    208/4    0.000    0.000    0.119    0.030 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    31/13    0.000    0.000    0.087    0.007 {built-in method builtins.__import__}
    72/43    0.000    0.000    0.060    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.054    0.027 exceptions.py:1(<module>)
  180/144    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       76    0.001    0.000    0.040    0.001 re.py:288(_compile)
       75    0.000    0.000    0.040    0.001 re.py:249(compile)
       72    0.000    0.000    0.039    0.001 sre_compile.py:783(compile)
        1    0.000    0.000    0.035    0.035 connectionpool.py:1(<module>)
        2    0.000    0.000    0.031    0.015 connection.py:1(<module>)
 2063/826    0.000    0.000    0.028    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.028    0.004 six.py:85(_import_module)
        4    0.000    0.000    0.028    0.007 six.py:117(_resolve)
        6    0.000    0.000    0.027    0.005 <frozen importlib._bootstrap>:421(spec_from_loader)
       19    0.000    0.000    0.027    0.001 six.py:190(find_spec)
        4    0.000    0.000    0.027    0.007 six.py:215(is_package)
        1    0.000    0.000    0.027    0.027 six.py:120(__getattr__)
        1    0.000    0.000    0.025    0.025 client.py:1(<module>)
       72    0.000    0.000    0.024    0.000 sre_parse.py:944(parse)
   336/72    0.001    0.000    0.024    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.024    0.024 compat.py:1(<module>)
   453/77    0.009    0.000    0.023    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.022    0.022 ssl_.py:1(<module>)
        1    0.000    0.000    0.020    0.020 url.py:1(<module>)
        2    0.019    0.010    0.019    0.010 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.019    0.006 utils.py:1(<module>)
      135    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      178    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      178    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
  459/458    0.005    0.000    0.016    0.000 {built-in method builtins.__build_class__}
      500    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.015    0.015 parser.py:1(<module>)
        1    0.000    0.000    0.015    0.015 feedparser.py:1(<module>)
       72    0.000    0.000    0.014    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.013    0.013 _policybase.py:1(<module>)
        2    0.012    0.006    0.012    0.006 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.012    0.006 api.py:1(<module>)
   815/72    0.004    0.000    0.012    0.000 sre_compile.py:87(_compile)
    67530    0.011    0.000    0.011    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.011    0.011 cookiejar.py:1(<module>)
      135    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        6    0.010    0.002    0.010    0.002 {built-in method io.open}
      135    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
