{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    135/1    0.000    0.000    0.273    0.273 {built-in method builtins.exec}
        1    0.000    0.000    0.273    0.273 load_cache.py:1(<module>)
       15    0.000    0.000    0.232    0.015 __init__.py:1(<module>)
        1    0.011    0.011    0.158    0.158 load_cache.py:54(get_all_temperatures)
    33650    0.128    0.000    0.145    0.000 load_cache.py:39(get_file_temperatures)
    179/3    0.001    0.000    0.114    0.038 <frozen importlib._bootstrap>:1022(_find_and_load)
    178/3    0.000    0.000    0.114    0.038 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    163/3    0.001    0.000    0.114    0.038 <frozen importlib._bootstrap>:664(_load_unlocked)
    133/3    0.000    0.000    0.113    0.038 <frozen importlib._bootstrap_external>:877(exec_module)
    206/3    0.000    0.000    0.113    0.038 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    30/12    0.000    0.000    0.085    0.007 {built-in method builtins.__import__}
    71/42    0.000    0.000    0.059    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.052    0.026 exceptions.py:1(<module>)
  178/142    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       75    0.000    0.000    0.037    0.000 re.py:288(_compile)
       74    0.000    0.000    0.037    0.000 re.py:249(compile)
       71    0.000    0.000    0.036    0.001 sre_compile.py:783(compile)
        1    0.000    0.000    0.034    0.034 connectionpool.py:1(<module>)
        2    0.000    0.000    0.032    0.016 connection.py:1(<module>)
 1992/755    0.000    0.000    0.027    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.027    0.004 six.py:85(_import_module)
        4    0.000    0.000    0.027    0.007 six.py:117(_resolve)
        6    0.000    0.000    0.026    0.004 <frozen importlib._bootstrap>:421(spec_from_loader)
       19    0.000    0.000    0.026    0.001 six.py:190(find_spec)
        4    0.000    0.000    0.026    0.006 six.py:215(is_package)
        1    0.000    0.000    0.026    0.026 six.py:120(__getattr__)
        1    0.000    0.000    0.024    0.024 client.py:1(<module>)
        1    0.000    0.000    0.023    0.023 compat.py:1(<module>)
       71    0.000    0.000    0.022    0.000 sre_parse.py:944(parse)
   335/71    0.001    0.000    0.022    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.022    0.022 ssl_.py:1(<module>)
   452/76    0.009    0.000    0.022    0.000 sre_parse.py:494(_parse)
      176    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      176    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.020    0.020 url.py:1(<module>)
      494    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        3    0.000    0.000    0.019    0.006 utils.py:1(<module>)
      133    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.015    0.015 parser.py:1(<module>)
        1    0.000    0.000    0.014    0.014 feedparser.py:1(<module>)
  456/455    0.005    0.000    0.014    0.000 {built-in method builtins.__build_class__}
       71    0.000    0.000    0.013    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.013    0.013 _policybase.py:1(<module>)
        2    0.000    0.000    0.011    0.006 api.py:1(<module>)
    67530    0.011    0.000    0.011    0.000 {method 'index' of 'list' objects}
   814/71    0.004    0.000    0.011    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.011    0.011 cookiejar.py:1(<module>)
      133    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      133    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.008    0.003 request.py:1(<module>)
       13    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       13    0.007    0.001    0.007    0.001 {built-in method posix.listdir}
  163/162    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
       10    0.000    0.000    0.005    0.000 enum.py:536(_convert_)
      409    0.003    0.000    0.004    0.000 sre_compile.py:292(_optimize_charset)
     6484    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
     2523    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    33879    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 sessions.py:1(<module>)
      133    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      855    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    45683    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
       17    0.001    0.000    0.004    0.000 enum.py:180(__new__)
    24/23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.003    0.003 adapters.py:1(<module>)
      857    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    24/23    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
      177    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      163    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     8315    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
